trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
501,False,"{'a': 0.6, 'e': 4.020350544256277e-05}",20,10,14.592460149605568,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.6, 'e': 3.9399435333711516e-05}",20,13,16.43862405977868,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.6, 'e': 3.861144662703729e-05}",25,20,10.621661180311037,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.6, 'e': 3.783921769449654e-05}",20,2,28.942113184195158,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.6, 'e': 3.7082433340606605e-05}",25,10,26.64257089276261,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.6, 'e': 3.6340784673794475e-05}",30,19,20.940071745770204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.6, 'e': 3.561396898031858e-05}",25,16,16.07855686168714,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.6, 'e': 3.490168960071221e-05}",30,0,39.40834525060344,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
509,False,"{'a': 0.6, 'e': 3.420365580869797e-05}",20,16,7.443931516300337,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.6, 'e': 3.351958269252401e-05}",20,0,21.274532709863333,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
511,False,"{'a': 0.6, 'e': 3.2849191038673525e-05}",25,10,20.703065064438444,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.6, 'e': 3.219220721790006e-05}",20,11,17.78562116218484,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.6, 'e': 3.154836307354205e-05}",25,3,43.522020789288895,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.6, 'e': 3.091739581207121e-05}",20,6,-21.199240929929157,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
515,False,"{'a': 0.6, 'e': 3.0299047895829788e-05}",30,0,45.08021289356433,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
516,False,"{'a': 0.6, 'e': 2.969306693791319e-05}",20,12,16.01015755549297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.6, 'e': 2.9099205599154926e-05}",25,0,35.554529144081755,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
518,False,"{'a': 0.6, 'e': 2.8517221487171826e-05}",25,14,20.524434417202897,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.6, 'e': 2.794687705742839e-05}",25,3,40.260906850210986,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.6, 'e': 2.738793951627982e-05}",25,14,20.184518321489264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.6, 'e': 2.6840180725954225e-05}",20,1,32.24440220349713,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.6, 'e': 2.630337711143514e-05}",25,11,24.031692160219002,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
